Date,NRB,ELD,WAJ,MAK
2013-01-01,0.09815517217939829,3.281955043845745,0.0,7.283773722984735
2013-04-01,28.902483788082712,17.622711027463144,0.007064590280935207,1.5014971497095366
2013-07-01,0.1523535036321039,73.09822135353927,0.0,0.0
2013-10-01,0.6488392221905008,18.727141974716012,0.0,1.9800778554077625
2015-01-01,0.04993859637197457,0.24979666660024744,0.0,0.0005434300216104006
2015-04-01,3.908805416207839,37.11210417915801,0.02065034082119522,0.8732920447279138
2015-07-01,0.03625306451685994,65.6110236591317,0.0,0.0012680033837576012
2015-10-01,0.24715526734369267,7.640082673820621,0.005615443556640805,5.5502319540475575
